"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","2","W25Q512JVFIQ-ND","W25Q512JVFIQ","IC FLASH 512MBIT SPI/QUAD 16SOIC","DAISY","0","6.06000","12.12"
"2","5","296-1282-1-ND","TL072CDR","IC OPAMP JFET 2 CIRCUIT 8SOIC","Daisy","0","0.28000","1.40"
"3","2","2129-NJM4580D-ND","NJM4580D","IC AUDIO 2 CIRCUIT 8DIP","Daisy","0","1.04000","2.08"
"4","300","RMCF0603JT3K30CT-ND","RMCF0603JT3K30","RES 3.3K OHM 5% 1/10W 0603","Daisy","0","0.00860","2.58"
"5","20","1276-CL10B222KB8WPJCCT-ND","CL10B222KB8WPJC","CAP CER 2.2NF 50V X7R 0603","Daisy","0","0.05900","1.18"
"6","5","CP-102AH-ND","PJ-102AH","CONN PWR JACK 2X5.5MM SOLDER","DAISY","0","0.76000","3.80"
"7","25","311-3.30KHRCT-ND","RC0603FR-073K3L","RES 3.3K OHM 1% 1/10W 0603","DAISY","0","0.00900","0.23"
"8","10","1937-IO-TJ4HF-ND","IO-TJ4HF","4 PIN 1/4"" JACK PCB FULL-THREADE","DAISY","0","1.39100","13.91"
"9","10","IRF7493PBFCT-ND","IRF7493TRPBF","MOSFET N-CH 80V 9.3A 8SO","WIRE_HARNESS","0","0.61000","6.10"
"10","1000","311-33.0KHRCT-ND","RC0603FR-0733KL","RES 33K OHM 1% 1/10W 0603","WIRE_HARNESS","0","0.00510","5.10"
"11","25","296-8250-1-ND","SN74HC165DR","IC SHIFT REGTR COMP 8BIT 16-SOIC","MATRIXSR","0","0.14200","3.55"